"Freq [GHz]","dB(St(Rectangle1_T1,Rectangle1_T1)) []"
12,-3.11593227271487
12.1,-3.28754532427698
12.2,-3.47763260020682
12.3,-3.68837422099129
12.4,-3.92223864831063
12.5,-4.18200293033063
12.6,-4.4707686906333
12.7,-4.79196819474243
12.8,-5.14935108306728
12.9,-5.54693621547137
13,-5.98890298847265
13.1,-6.47938000486578
13.2,-7.02206244107975
13.3,-7.61954828587947
13.4,-8.27222494664974
13.5,-8.97647062711239
13.6,-9.72191070925039
13.7,-10.4876516632762
13.8,-11.2381776547006
13.9,-11.9214283195679
14,-12.474073559869
14.1,-12.8385928137079
14.2,-12.9878640938796
14.3,-12.9402609132974
14.4,-12.7515390817593
14.5,-12.491158086448
14.6,-12.221627342288
14.7,-11.9897123823062
14.8,-11.8267152695848
14.9,-11.7523245305179
15,-11.7786681764873
15.1,-11.9133831488221
15.2,-12.1615463056745
15.3,-12.5265601649184
15.4,-13.0099624590462
15.5,-13.6097927323981
15.6,-14.3165985716552
15.7,-15.1054474709988
15.8,-15.9222041671482
15.9,-16.6662034219017
16,-17.1862066320367
16.1,-17.3258966340221
16.2,-17.0216234470883
16.3,-16.3536743787547
16.4,-15.4801737978247
16.5,-14.5431100309527
16.6,-13.6322535588432
16.7,-12.7931552777486
16.8,-12.0445180284958
16.9,-11.3911104945538
17,-10.8312052286161
17.1,-10.3604418598118
17.2,-9.97373330275936
17.3,-9.66617204215098
17.4,-9.43344168296684
17.5,-9.27198967698214
17.6,-9.17908937689545
17.7,-9.15285591945557
17.8,-9.19224924225512
17.9,-9.29708271459958
18,-9.46804953189773
18,-9.46804953189773
